Wall time,Step,Value
1621835985,268074,0.079229385
1621835986,268219,0.288508803
1621835986,268362,0.263086081
1621835986,268418,0.163088948
1621835987,268580,0.24759227
1621835988,268971,0.129616857
1621835989,269123,0.250183165
1621835989,269134,0.13503553
1621835991,269748,0.100651927
1621835992,270025,0.101984158
1621835992,270047,0.167848125
1621835992,270169,0.183054388
1621835993,270223,0.176772341
1621835994,270543,0.146806747
1621835995,270965,0.267962694
1621835999,272338,0.191998512
1621836000,272525,0.034955386
1621836000,272540,0.291318417
1621836000,272611,0.091741554
1621836001,272866,0.13932994
1621836001,272876,0.112387992
1621836002,273313,0.056950957
1621836004,273960,0.107857168
1621836004,274225,0.215197653
1621836006,274903,0.039803151
1621836007,274973,0.137596279
1621836008,275285,0.090032548
1621836008,275355,0.096450873
1621836009,275614,1.387645602
1621836009,275707,0.333208501
1621836010,276137,0.068474464
1621836011,276322,0.165622801
1621836011,276525,0.065409586
1621836012,276671,0.082525492
1621836013,276952,0.123630151
1621836013,277094,0.169688091
1621836013,277173,0.107632719
1621836015,277656,0.914882243
1621836015,277662,0.370631546
1621836016,277819,0.554210067
1621836016,277821,0.172989637
1621836016,277910,0.086392879
1621836017,278301,0.101736307
1621836018,278700,0.247505575
1621836018,278729,0.47219497
1621836019,279205,0.128164843
1621836020,279285,1.513395309
1621836020,279521,0.220503911
1621836022,279927,0.357864559
1621836023,280354,0.290988892
1621836023,280606,0.192832947
1621836024,280874,0.226280868
1621836025,281065,0.211996004
1621836025,281198,0.113737069
1621836026,281569,0.455559909
1621836028,282086,0.129593238
1621836028,282357,0.942512274
1621836030,282764,0.159926653
1621836030,282951,0.126431078
1621836032,283551,0.373911798
1621836033,283796,0.266305119
1621836035,284702,0.11988233
1621836038,285415,0.172668636
1621836038,285418,1.578469515
1621836038,285539,0.319049448
1621836039,285911,2.803269863
1621836042,286780,0.359641403
1621836044,287452,0.279901296
1621836045,288076,0.475418448
1621836046,288105,0.183583289
1621836046,288382,0.158109859
1621836047,288760,0.095838867
1621836048,288892,1.735014796
1621836048,289061,0.664138496
1621836050,289485,0.181914568
1621836050,289494,5.11310482
1621836050,289514,0.202468798
1621836051,289903,0.240646154
1621836052,290466,0.114542238
1621836053,290631,0.223211542
1621836054,290917,0.395438969
1621836055,291290,0.133725986
1621836055,291549,0.464991063
1621836056,291715,0.35435015
1621836058,292242,0.41925779
1621836059,292664,0.119742058
1621836061,293121,0.133267045
1621836064,293720,0.069114126
1621836066,294317,0.400922775
1621836068,294732,0.249033645
1621836068,294807,0.212068081
1621836069,294900,0.205395371
1621836072,295551,0.116644174
1621836075,296225,0.09567295
1621836075,296248,0.124551646
1621836077,296717,0.048193835
1621836079,297149,0.101227842
1621836079,297157,0.058626845
1621836080,297400,0.187716186
1621836087,298774,0.32827419
1621836088,298951,0.094915509
1621836088,298988,0.271795183
1621836089,299266,0.100931026
1621836090,299378,0.197726041
1621836092,299868,0.080471128
1621836093,299957,0.15578872
1621836093,299999,0.021385465
1621836097,300830,0.088431709
1621836098,300909,0.291333765
1621836107,302773,0.701673985
1621836109,303031,0.288973123
1621836110,303344,0.182303444
1621836113,303840,0.127538949
1621836113,304015,0.481782079
1621836115,304240,0.71802485
1621836120,305422,12.81091881
1621836121,305587,0.458877057
1621836127,306895,0.100790963
1621836128,307199,0.62222445
1621836128,307273,0.099400856
1621836128,307313,0.231436446
1621836132,308340,0.179196939
1621836132,308365,0.464370996
1621836132,308427,2.605650187
1621836135,309058,0.332969606
1621836135,309182,0.190129712
1621836136,309499,1.36752224
1621836136,309562,0.154691324
1621836140,310728,0.198273852
1621836140,310801,0.256791055
1621836140,310847,0.178453088
1621836141,311007,0.184090093
1621836141,311042,0.721067131
1621836142,311272,9.679427147
1621836142,311506,0.176960424
1621836143,311843,0.207848549
1621836145,312445,0.135967821
1621836145,312508,0.209705099
1621836147,313080,0.29617092
1621836150,314038,0.093341686
1621836151,314294,0.102061935
1621836152,314601,0.086522996
1621836154,315319,0.04132371
1621836156,315774,0.204960361
1621836157,316240,0.138263449
1621836158,316521,0.229053587
1621836161,317285,0.098846518
1621836162,317563,0.048779085
1621836164,318139,0.187969595
1621836165,318426,0.208670616
1621836165,318535,0.223446265
1621836166,318811,0.107872769
1621836166,318870,0.350429803
1621836167,319024,0.131821662
1621836167,319082,0.93947506
1621836169,319762,0.399236143
1621836169,319779,0.174607843
1621836170,319931,0.279742032
1621836170,319959,1.328295231
1621836170,320121,0.44139269
1621836171,320309,0.119237393
1621836171,320389,0.310684055
1621836176,321654,0.679926217
1621836177,322025,0.224621281
1621836177,322190,0.433333278
1621836179,322602,41.02069855
1621836179,322770,1.742621064
1621836179,322832,0.440155685
1621836181,323352,0.226595372
1621836181,323510,0.383417189
1621836182,323751,38.71335983
1621836182,323807,0.09279947
1621836183,323921,1.107254982
1621836183,323962,0.758967519
1621836184,324306,0.1137143
1621836185,324795,0.132505476
1621836185,324838,0.274669826
1621836186,325184,0.113689817
1621836187,325368,0.116481133
1621836188,325604,2.166907072
1621836189,326211,0.609350026
1621836190,326546,0.237814337
1621836191,326810,0.180545643
1621836192,327184,0.095310964
1621836194,327712,0.233300656
1621836194,327721,0.492689967
1621836195,327945,0.144964278
1621836195,328021,0.294897407
1621836196,328370,0.075888343
1621836196,328424,0.097498424
1621836197,328843,0.057865605
1621836199,329126,0.176531136
1621836200,329450,0.36923629
1621836201,329956,0.081340209
1621836201,330028,0.13298519
1621836203,330297,0.065966867
1621836203,330406,0.100937672
1621836204,330720,0.268645644
1621836204,330758,0.207188547
1621836204,330873,0.560087681
1621836205,330882,0.319633275
1621836205,330942,0.17888093
1621836205,330970,0.278746098
1621836206,331398,0.116152644
1621836209,332403,0.299848348
1621836211,332943,0.083113208
1621836211,333023,0.077519864
1621836212,333064,0.103654638
1621836213,333542,0.278839976
1621836216,334319,1.189004898
1621836217,334705,2.326889753
1621836218,335078,0.290646255
1621836218,335117,0.132327318
1621836219,335433,0.231032282
1621836223,336234,0.380227625
